Name,LongName,Pop2021Est,Pop2020Census,CombinedStatAreaName
New York,"New York-Newark-Jersey City, NY-NJ-CT-PA MSA","19,768,458","20,140,470","New York-Newark, NY-NJ-CT-PA CSA"
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA MSA","12,997,353","13,200,998","Los Angeles-Long Beach, CA CSA"
Chicago,"Chicago-Naperville-Elgin, IL-IN-WI MSA","9,509,934","9,618,502","Chicago-Naperville, IL-IN-WI CSA"
Dallas,"Dallas-Fort Worth-Arlington, TX MSA","7,759,615","7,637,387","Dallas-Fort Worth, TX-OK CSA"
Houston,"Houston-The Woodlands-Sugar Land, TX MSA","7,206,841","7,122,240","Houston-The Woodlands, TX CSA"
Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","6,356,434","6,385,162","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","6,228,601","6,245,051","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA MSA","6,144,050","6,089,815","Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
Miami,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","6,091,747","6,138,333","Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
Phoenix,"Phoenix-Mesa-Chandler, AZ MSA","4,946,145","4,845,832","Phoenix-Mesa, AZ CSA"
Boston,"Boston-Cambridge-Newton, MA-NH MSA","4,899,932","4,941,632","Boston-Worcester-Providence, MA-RI-NH-CT CSA"
Riverside-San Bernadino,"Riverside-San Bernardino-Ontario, CA MSA","4,653,105","4,599,839","Los Angeles-Long Beach, CA CSA"
San Francisco,"San Francisco-Oakland-Berkeley, CA MSA","4,623,264","4,749,008","San Jose-San Francisco-Oakland, CA CSA"
Detroit,"Detroit–Warren–Dearborn, MI MSA","4,365,205","4,392,041","Detroit-Warren-Ann Arbor, MI CSA"
Seattle,"Seattle-Tacoma-Bellevue, WA MSA","4,011,553","4,018,762","Seattle-Tacoma, WA CSA"
Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI MSA","3,690,512","3,690,261","Minneapolis-St. Paul, MN-WI CSA"
San Diego,"San Diego-Chula Vista-Carlsbad, CA MSA","3,286,069","3,298,634",
Tampa-St. Petersburg,"Tampa-St. Petersburg-Clearwater, FL MSA","3,219,514","3,175,275",
Denver,"Denver-Aurora-Lakewood, CO MSA","2,972,566","2,963,821","Denver-Aurora, CO CSA"
Baltimore,"Baltimore-Columbia-Towson, MD MSA","2,838,327","2,844,510","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
St. Louis,"St. Louis, MO-IL MSA","2,809,299","2,820,253","St. Louis-St. Charles-Farmington, MO-IL CSA"
Charlotte,"Charlotte-Concord-Gastonia, NC-SC MSA","2,701,046","2,660,329","Charlotte-Concord, NC-SC CSA"
Orlando,"Orlando-Kissimmee-Sanford, FL MSA","2,691,925","2,673,376","Orlando-Lakeland-Deltona, FL CSA"
San Antonio,"San Antonio-New Braunfels, TX MSA","2,601,788","2,558,143","San Antonio-New Braunfels-Pearsall, TX CSA"
Portland,"Portland-Vancouver-Hillsboro, OR-WA MSA","2,511,612","2,512,859","Portland-Vancouver–Salem, OR-WA CSA"
Sacramento,"Sacramento-Roseville-Folsom, CA MSA","2,411,428","2,397,382","Sacramento-Roseville, CA CSA"
Pittsburgh,"Pittsburgh, PA MSA","2,353,538","2,370,930","Pittsburgh-New Castle-Weirton, PA-OH-WV CSA"
Austin,"Austin-Round Rock-Georgetown, TX MSA","2,352,426","2,283,371",
Las Vegas,"Las Vegas-Henderson-Paradise, NV MSA","2,292,476","2,265,461","Las Vegas-Henderson, NV-AZ CSA"
Cincinnati,"Cincinnati, OH-KY-IN MSA","2,259,935","2,256,884","Cincinnati-Wilmington-Maysville, OH-KY-IN CSA"
Kansas City,"Kansas City, MO-KS MSA","2,199,490","2,192,035","Kansas City-Overland Park-Kansas City, MO-KS CSA"
Columbus,"Columbus, OH MSA","2,151,017","2,138,926","Columbus-Marion-Zanesville, OH CSA"
Indianapolis,"Indianapolis-Carmel-Anderson, IN MSA","2,126,804","2,111,040","Indianapolis-Carmel-Muncie, IN CSA"
Cleveland,"Cleveland-Elyria, OH MSA","2,075,662","2,088,251","Cleveland-Akron-Canton, OH CSA"
Nashville,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA","2,012,476","1,989,519","Nashville-Davidson–Murfreesboro, TN CSA"
San Jose,"San Jose-Sunnyvale-Santa Clara, CA MSA","1,952,185","2,000,468","San Jose-San Francisco-Oakland, CA CSA"
Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","1,803,328","1,799,674","Virginia Beach-Norfolk, VA-NC CSA"
Providence,"Providence-Warwick, RI-MA MSA","1,675,774","1,676,579","Boston-Worcester-Providence, MA-RI-NH-CT CSA"
Jacksonville,"Jacksonville, FL MSA","1,637,666","1,605,848","Jacksonville-St. Marys-Palatka, FL-GA CSA"
Milwaukee,"Milwaukee-Waukesha, WI MSA","1,566,487","1,574,731","Milwaukee-Racine-Waukesha, WI CSA"
Raleigh,"Raleigh-Cary, NC MSA","1,448,411","1,413,982","Raleigh-Durham-Cary, NC CSA"
Oklahoma City,"Oklahoma City, OK MSA","1,441,647","1,425,695","Oklahoma City-Shawnee, OK CSA"
Memphis,"Memphis, TN-MS-AR MSA","1,336,103","1,337,779","Memphis-Forrest City, TN-MS-AR CSA"
Richmond,"Richmond, VA MSA","1,324,062","1,314,434",
Louisville,"Louisville/Jefferson County, KY-IN MSA","1,284,566","1,285,439","Louisville/Jefferson County–Elizabethtown–Bardstown, KY-IN CSA"
Salt Lake City,"Salt Lake City, UT MSA","1,263,061","1,257,936","Salt Lake City-Provo-Ogden, UT CSA"
New Orleans,"New Orleans-Metairie, LA MSA","1,261,726","1,271,845","New Orleans-Metairie-Hammond, LA-MS CSA"
